"Libellé";"Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Ensemble hors tabac";"Codes";""
"idBank";"001763852";"";""
"Dernière mise à jour";"12/05/2023 08:45";"";""
"Période";"";"";"Date de parution au JO"
"2023-04";"116.61";"A";"14/05/2023"
"2023-03";"115.92";"A";"16/04/2023"
"2023-02";"115.06";"A";"16/03/2023"
"2023-01";"113.86";"A";"18/02/2023"
"2022-12";"113.42";"A";"14/01/2023"
"2022-11";"113.53";"A";"16/12/2022"
"2022-10";"113.16";"A";"16/11/2022"
"2022-09";"111.99";"A";"16/10/2022"
"2022-08";"112.63";"A";"16/09/2022"
"2022-07";"112.11";"A";"13/08/2022"
"2022-06";"111.8";"A";"14/07/2022"
"2022-05";"110.95";"A";"16/06/2022"
"2022-04";"110.19";"A";"15/05/2022"
"2022-03";"109.7";"A";"16/04/2022"
"2022-02";"108.14";"A";"17/03/2022"
"2022-01";"107.3";"A";"19/02/2022"
"2021-12";"107.03";"A";"15/01/2022"
"2021-11";"106.82";"A";"17/12/2021"
"2021-10";"106.42";"A";"19/11/2021"
"2021-09";"105.97";"A";"17/10/2021"
"2021-08";"106.21";"A";"17/09/2021"
"2021-07";"105.55";"A";"14/08/2021"
"2021-06";"105.48";"A";"14/07/2021"
"2021-05";"105.34";"A";"17/06/2021"
"2021-04";"105.0";"A";"18/05/2021"
"2021-03";"104.89";"A";"17/04/2021"
"2021-02";"104.24";"A";"17/03/2021"
"2021-01";"104.24";"A";"20/02/2021"
"2020-12";"104.09";"A";"17/01/2021"
"2020-11";"103.86";"A";"16/12/2020"
"2020-10";"103.75";"A";"14/11/2020"
"2020-09";"103.8";"A";"16/10/2020"
"2020-08";"104.34";"A";"16/09/2020"
"2020-07";"104.44";"A";"15/08/2020"
"2020-06";"104.04";"A";"17/07/2020"
"2020-05";"103.95";"A";"19/06/2020"
"2020-04";"103.81";"A";"16/05/2020"
"2020-03";"103.85";"A";"16/04/2020"
"2020-02";"103.93";"A";"17/03/2020"
"2020-01";"103.94";"A";"21/02/2020"
"2019-12";"104.39";"A";"16/01/2020"
"2019-11";"103.92";"A";"13/12/2019"
"2019-10";"103.99";"A";"15/11/2019"
"2019-09";"104.04";"A";"16/10/2019"
"2019-08";"104.4";"A";"13/09/2019"
"2019-07";"103.91";"A";"15/08/2019"
"2019-06";"104.12";"A";"12/07/2019"
"2019-05";"103.86";"A";"15/06/2019"
"2019-04";"103.76";"A";"16/05/2019"
"2019-03";"103.43";"A";"12/04/2019"
"2019-02";"102.73";"A";"15/03/2019"
"2019-01";"102.67";"A";"23/02/2019"
"2018-12";"103.16";"A";"16/01/2019"
"2018-11";"103.14";"A";"14/12/2018"
"2018-10";"103.37";"A";"15/11/2018"
"2018-09";"103.25";"A";"12/10/2018"
"2018-08";"103.48";"A";"14/09/2018"
"2018-07";"102.96";"A";"18/08/2018"
"2018-06";"103.07";"A";"13/07/2018"
"2018-05";"103.06";"A";"16/06/2018"
"2018-04";"102.59";"A";"16/05/2018"
"2018-03";"102.42";"A";"13/04/2018"
"2018-02";"101.64";"A";"16/03/2018"
"2018-01";"101.67";"A";"23/02/2018"
"2017-12";"101.76";"A";"13/01/2018"
"2017-11";"101.47";"A";"15/12/2017"
"2017-10";"101.4";"A";"16/11/2017"
"2017-09";"101.3";"A";"14/10/2017"
"2017-08";"101.47";"A";"15/09/2017"
"2017-07";"100.94";"A";"12/08/2017"
"2017-06";"101.3";"A";"16/07/2017"
"2017-05";"101.28";"A";"17/06/2017"
"2017-04";"101.23";"A";"31/05/2017"
"2017-03";"101.14";"A";"14/04/2017"
"2017-02";"100.52";"A";"16/03/2017"
"2017-01";"100.41";"A";"22/02/2017"
"2016-12";"100.66";"A";"13/01/2017"
"2016-11";"100.36";"A";"15/12/2016"
"2016-10";"100.37";"A";"16/11/2016"
"2016-09";"100.35";"A";"13/10/2016"
"2016-08";"100.59";"A";"15/09/2016"
"2016-07";"100.26";"A";"18/08/2016"
"2016-06";"100.64";"A";"14/07/2016"
"2016-05";"100.51";"A";"16/06/2016"
"2016-04";"100.09";"A";"20/05/2016"
"2016-03";"100.02";"A";"14/04/2016"
"2016-02";"99.32";"A";"16/03/2016"
"2016-01";"99.07";"A";"19/02/2016"
"2015-12";"100.04";"A";"20/01/2016"
"2015-11";"99.81";"A";"11/12/2015"
"2015-10";"100.01";"A";"13/11/2015"
"2015-09";"99.95";"A";"15/10/2015"
"2015-08";"100.36";"A";"17/09/2015"
"2015-07";"100.03";"A";"14/08/2015"
"2015-06";"100.45";"A";"22/07/2015"
"2015-05";"100.53";"A";"13/06/2015"
"2015-04";"100.29";"A";"17/05/2015"
"2015-03";"100.17";"A";"17/04/2015"
"2015-02";"99.51";"A";"19/03/2015"
"2015-01";"98.85";"A";"25/02/2015"
"2014-12";"99.86";"A";"16/01/2015"
"2014-11";"99.78";"A";"12/12/2014"
"2014-10";"99.95";"A";"14/11/2014"
"2014-09";"99.92";"A";"30/10/2014"
"2014-08";"100.31";"A";"16/09/2014"
"2014-07";"99.87";"A";"15/08/2014"
"2014-06";"100.19";"A";"17/07/2014"
"2014-05";"100.23";"A";"19/06/2014"
"2014-04";"100.2";"A";"21/05/2014"
"2014-03";"100.25";"A";"18/04/2014"
"2014-02";"99.79";"A";"18/03/2014"
"2014-01";"99.26";"A";"25/02/2014"
"2013-12";"99.87";"A";"17/01/2014"
"2013-11";"99.52";"A";"14/12/2013"
"2013-10";"99.57";"A";"16/11/2013"
"2013-09";"99.7";"A";"23/10/2013"
"2013-08";"99.94";"A";"19/09/2013"
"2013-07";"99.5";"A";"22/08/2013"
"2013-06";"99.84";"A";"02/08/2013"
"2013-05";"99.67";"A";"19/06/2013"
"2013-04";"99.62";"A";"19/05/2013"
"2013-03";"99.77";"A";"14/04/2013"
"2013-02";"99.0";"A";"20/03/2013"
"2013-01";"98.71";"A";"27/02/2013"
"2012-12";"99.23";"A";"12/01/2013"
"2012-11";"98.91";"A";"15/12/2012"
"2012-10";"99.07";"A";"16/11/2012"
"2012-09";"99.01";"A";"13/10/2012"
"2012-08";"99.27";"A";"14/09/2012"
"2012-07";"98.6";"A";"17/08/2012"
"2012-06";"99.04";"A";"14/07/2012"
"2012-05";"99.0";"A";"15/06/2012"
"2012-04";"99.06";"A";"19/05/2012"
"2012-03";"98.93";"A";"14/04/2012"
"2012-02";"98.09";"A";"20/03/2012"
"2012-01";"97.68";"A";"24/02/2012"
"2011-12";"98.04";"A";"14/01/2012"
"2011-11";"97.64";"A";"15/12/2011"
"2011-10";"97.42";"A";"13/11/2011"
"2011-09";"97.23";"A";"14/10/2011"
"2011-08";"97.31";"A";"15/09/2011"
"2011-07";"96.79";"A";"18/08/2011"
"2011-06";"97.23";"A";"22/07/2011"
"2011-05";"97.16";"A";"17/06/2011"
"2011-04";"97.1";"A";"14/05/2011"
"2011-03";"96.76";"A";"15/04/2011"
"2011-02";"95.97";"A";"18/03/2011"
"2011-01";"95.51";"A";"26/02/2011"
"2010-12";"95.74";"A";"15/01/2011"
"2010-11";"95.32";"A";"19/12/2010"
"2010-10";"95.28";"A";"13/11/2010"
"2010-09";"95.15";"A";"15/10/2010"
"2010-08";"95.23";"A";"17/09/2010"
"2010-07";"95.0";"A";"20/08/2010"
"2010-06";"95.27";"A";"22/07/2010"
"2010-05";"95.28";"A";"13/06/2010"
"2010-04";"95.18";"A";"15/05/2010"
"2010-03";"94.92";"A";"16/04/2010"
"2010-02";"94.45";"A";"23/03/2010"
"2010-01";"93.92";"A";"26/02/2010"
"2009-12";"94.14";"A";"16/01/2010"
"2009-11";"93.91";"A";"23/12/2009"
"2009-10";"93.85";"A";"18/11/2009"
"2009-09";"93.76";"A";"15/10/2009"
"2009-08";"93.99";"A";"17/09/2009"
"2009-07";"93.5";"A";"23/08/2009"
"2009-06";"93.93";"A";"19/07/2009"
"2009-05";"93.81";"A";"14/06/2009"
"2009-04";"93.66";"A";"15/05/2009"
"2009-03";"93.52";"A";"25/04/2009"
"2009-02";"93.34";"A";"19/03/2009"
"2009-01";"92.98";"A";"22/02/2009"
"2008-12";"93.37";"A";"11/02/2009"
"2008-11";"93.6";"A";"19/12/2008"
"2008-10";"94.05";"A";"16/11/2008"
"2008-09";"94.11";"A";"16/10/2008"
"2008-08";"94.17";"A";"14/09/2008"
"2008-07";"94.21";"A";"20/08/2008"
"2008-06";"94.42";"A";"20/07/2008"
"2008-05";"94.07";"A";"13/06/2008"
"2008-04";"93.56";"A";"22/05/2008"
"2008-03";"93.24";"A";"18/04/2008"
"2008-02";"92.53";"A";"15/03/2008"
"2008-01";"92.33";"A";"23/02/2008"
"2007-12";"92.44";"A";"17/01/2008"
"2007-11";"92.09";"A";"15/12/2007"
"2007-10";"91.58";"A";"16/11/2007"
"2007-09";"91.34";"A";"14/10/2007"
"2007-08";"91.26";"A";"03/10/2007"
"2007-07";"90.97";"A";"18/08/2007"
"2007-06";"91.2";"A";"20/07/2007"
"2007-05";"91.09";"A";"30/06/2007"
"2007-04";"90.86";"A";"25/05/2007"
"2007-03";"90.41";"A";"06/05/2007"
"2007-02";"90.02";"A";"20/03/2007"
"2007-01";"89.85";"A";"25/02/2007"
"2006-12";"90.16";"A";"18/01/2007"
"2006-11";"89.96";"A";"17/12/2006"
"2006-10";"89.85";"A";"15/11/2006"
"2006-09";"90.05";"A";"18/10/2006"
"2006-08";"90.26";"A";"07/10/2006"
"2006-07";"89.95";"A";"31/08/2006"
"2006-06";"90.1";"A";"20/07/2006"
"2006-05";"90.11";"A";"20/06/2006"
"2006-04";"89.71";"A";"20/05/2006"
"2006-03";"89.33";"A";"21/04/2006"
"2006-02";"89.07";"A";"17/03/2006"
"2006-01";"88.73";"A";"24/02/2006"
"2005-12";"88.82";"A";"20/01/2006"
"2005-11";"88.71";"A";"16/12/2005"
"2005-10";"88.89";"A";"16/11/2005"
"2005-09";"88.91";"A";"19/10/2005"
"2005-08";"88.56";"A";"22/09/2005"
"2005-07";"88.22";"A";"17/08/2005"
"2005-06";"88.35";"A";"22/07/2005"
"2005-05";"88.25";"A";"19/06/2005"
"2005-04";"88.19";"A";"18/05/2005"
"2005-03";"88.02";"A";"21/04/2005"
"2005-02";"87.46";"A";"23/03/2005"
"2005-01";"86.91";"A";"26/02/2005"
"2004-12";"87.4";"A";"27/01/2005"
"2004-11";"87.3";"A";"28/12/2004"
"2004-10";"87.26";"A";"26/11/2004"
"2004-09";"87.02";"A";"28/10/2004"
"2004-08";"86.94";"A";"28/09/2004"
"2004-07";"86.75";"A";"27/08/2004"
"2004-06";"86.89";"A";"27/07/2004"
"2004-05";"86.85";"A";"27/06/2004"
"2004-04";"86.53";"A";"29/05/2004"
"2004-03";"86.3";"A";"30/04/2004"
"2004-02";"85.96";"A";"28/03/2004"
"2004-01";"85.61";"A";"28/02/2004"
"2003-12";"85.76";"A";"29/01/2004"
"2003-11";"85.67";"A";"28/12/2003"
"2003-10";"85.78";"A";"27/11/2003"
"2003-09";"85.73";"A";"26/10/2003"
"2003-08";"85.39";"A";"02/10/2003"
"2003-07";"85.19";"A";"28/08/2003"
"2003-06";"85.28";"A";"27/07/2003"
"2003-05";"85.12";"A";"28/06/2003"
"2003-04";"85.21";"A";"31/05/2003"
"2003-03";"85.33";"A";"27/04/2003"
"2003-02";"84.99";"A";"26/03/2003"
"2003-01";"84.42";"A";"28/02/2003"
"2002-12";"84.41";"A";"26/01/2003"
"2002-11";"84.27";"A";"27/12/2002"
"2002-10";"84.27";"A";"27/11/2002"
"2002-09";"84.14";"A";"29/10/2002"
"2002-08";"83.98";"A";"27/09/2002"
"2002-07";"83.78";"A";"30/08/2002"
"2002-06";"83.78";"A";"27/07/2002"
"2002-05";"83.79";"A";"28/06/2002"
"2002-04";"83.68";"A";"31/05/2002"
"2002-03";"83.36";"A";"27/04/2002"
"2002-02";"82.99";"A";"30/03/2002"
"2002-01";"82.89";"A";"02/03/2002"
"2001-12";"82.63";"A";"27/01/2002"
"2001-11";"82.53";"A";"23/12/2001"
"2001-10";"82.76";"A";"25/11/2001"
"2001-09";"82.71";"A";"28/10/2001"
"2001-08";"82.56";"A";"29/09/2001"
"2001-07";"82.56";"A";"29/08/2001"
"2001-06";"82.73";"A";"26/07/2001"
"2001-05";"82.68";"A";"29/06/2001"
"2001-04";"82.16";"A";"30/05/2001"
"2001-03";"81.76";"A";"28/04/2001"
"2001-02";"81.39";"A";"28/03/2001"
"2001-01";"81.18";"A";"28/02/2001"
"2000-12";"81.6";"A";"28/01/2001"
"2000-11";"81.63";"A";"29/12/2000"
"2000-10";"81.45";"A";"28/11/2000"
"2000-09";"81.55";"A";"28/10/2000"
"2000-08";"81.13";"A";"01/10/2000"
"2000-07";"80.97";"A";"27/08/2000"
"2000-06";"81.1";"A";"29/07/2000"
"2000-05";"80.9";"A";"27/06/2000"
"2000-04";"80.73";"A";"28/05/2000"
"2000-03";"80.73";"A";"30/04/2000"
"2000-02";"80.35";"A";"01/04/2000"
"2000-01";"80.25";"A";"02/03/2000"
"1999-12";"80.32";"A";"29/01/2000"
"1999-11";"79.96";"A";"29/12/1999"
"1999-10";"79.93";"A";"28/11/1999"
"1999-09";"79.87";"A";"30/10/1999"
"1999-08";"79.74";"A";"30/09/1999"
"1999-07";"79.61";"A";"26/08/1999"
"1999-06";"79.83";"A";"30/07/1999"
"1999-05";"79.83";"A";"29/06/1999"
"1999-04";"79.83";"A";"29/05/1999"
"1999-03";"79.6";"A";"29/04/1999"
"1999-02";"79.33";"A";"28/03/1999"
"1999-01";"79.08";"A";"28/02/1999"
"1998-12";"79.38";"A";"30/01/1999"
"1998-11";"79.29";"A";"27/12/1998"
"1998-10";"79.34";"A";"29/11/1998"
"1998-09";"79.39";"A";"29/10/1998"
"1998-08";"79.42";"A";"30/09/1998"
"1998-07";"79.36";"A";"28/08/1998"
"1998-06";"79.63";"A";"28/07/1998"
"1998-05";"79.57";"A";"27/06/1998"
"1998-04";"79.55";"A";"29/05/1998"
"1998-03";"79.39";"A";"28/04/1998"
"1998-02";"79.25";"A";"28/03/1998"
"1998-01";"78.95";"A";"28/02/1998"
"1997-12";"79.24";"A";"29/01/1998"
"1997-11";"79.21";"A";"28/12/1997"
"1997-10";"79.07";"A";"29/11/1997"
"1997-09";"79.11";"A";"29/10/1997"
"1997-08";"78.97";"A";"27/09/1997"
"1997-07";"78.76";"A";"30/08/1997"
"1997-06";"78.87";"A";"29/07/1997"
"1997-05";"78.88";"A";"29/06/1997"
"1997-04";"78.77";"A";"30/05/1997"
"1997-03";"78.74";"A";"27/04/1997"
"1997-02";"78.67";"A";"29/03/1997"
"1997-01";"78.52";"A";"28/02/1997"
"1996-12";"78.41";"A";"28/01/1997"
"1996-11";"78.3";"A";"28/12/1996"
"1996-10";"78.37";"A";"29/11/1996"
"1996-09";"78.16";"A";"30/10/1996"
"1996-08";"77.92";"A";"29/09/1996"
"1996-07";"78.07";"A";"28/08/1996"
"1996-06";"78.22";"A";"28/07/1996"
"1996-05";"78.31";"A";"28/06/1996"
"1996-04";"78.15";"A";"30/05/1996"
"1996-03";"78.06";"A";"28/04/1996"
"1996-02";"77.55";"A";"30/03/1996"
"1996-01";"77.26";"A";"29/02/1996"
"1995-12";"77.21";"A";"27/01/1996"
"1995-11";"77.15";"A";"28/12/1995"
"1995-10";"77.08";"A";"28/11/1995"
"1995-09";"77.0";"A";"26/10/1995"
"1995-08";"76.72";"A";"27/09/1995"
"1995-07";"76.44";"A";"26/08/1995"
"1995-06";"76.58";"A";"27/07/1995"
"1995-05";"76.57";"A";"28/06/1995"
"1995-04";"76.46";"A";"01/06/1995"
"1995-03";"76.37";"A";"26/04/1995"
"1995-02";"76.13";"A";"26/03/1995"
"1995-01";"75.89";"A";"01/03/1995"
"1994-12";"75.69";"A";"20/01/1995"
"1994-11";"75.73";"A";"21/12/1994"
"1994-10";"75.8";"A";"22/11/1994"
"1994-09";"75.64";"A";"21/10/1994"
"1994-08";"75.4";"A";"21/09/1994"
"1994-07";"75.4";"A";"23/08/1994"
"1994-06";"75.42";"A";"21/07/1994"
"1994-05";"75.45";"A";"21/06/1994"
"1994-04";"75.28";"A";"20/05/1994"
"1994-03";"75.07";"A";"21/04/1994"
"1994-02";"74.9";"A";"22/03/1994"
"1994-01";"74.73";"A";"25/02/1994"
"1993-12";"74.75";"A";"21/01/1994"
"1993-11";"74.78";"A";"21/12/1993"
"1993-10";"74.71";"A";"23/11/1993"
"1993-09";"74.57";"A";"21/10/1993"
"1993-08";"74.33";"A";"23/09/1993"
"1993-07";"74.34";"A";"23/08/1993"
"1993-06";"74.27";"A";"26/07/1993"
"1993-05";"74.37";"A";"25/06/1993"
"1993-04";"74.28";"A";"27/05/1993"
"1993-03";"74.19";"A";"27/04/1993"
"1993-02";"73.81";"A";"30/03/1993"
"1993-01";"73.62";"A";"01/03/1993"
"1992-12";"73.39";"A";"31/01/1993"
"1992-11";"73.43";"A";"31/12/1992"
"1992-10";"73.35";"A";"03/12/1992"
"1992-09";"73.16";"A";"31/10/1992"
"1992-08";"72.94";"A";"07/10/1992"
"1992-07";"72.99";"A";"03/09/1992"
"1992-06";"73.02";"A";"02/08/1992"
"1992-05";"73.07";"A";"01/07/1992"
"1992-04";"72.91";"A";"31/05/1992"
"1992-03";"72.77";"A";"07/05/1992"
"1992-02";"72.53";"A";"03/04/1992"
"1992-01";"72.22";"A";"29/02/1992"
"1991-12";"72.1";"A";"02/02/1992"
"1991-11";"72.33";"A";"03/01/1992"
"1991-10";"72.06";"A";"29/11/1991"
"1991-09";"71.73";"A";"03/11/1991"
"1991-08";"71.62";"A";"03/10/1991"
"1991-07";"71.53";"A";"31/08/1991"
"1991-06";"71.34";"A";"01/08/1991"
"1991-05";"71.17";"A";"29/06/1991"
"1991-04";"70.94";"A";"01/06/1991"
"1991-03";"70.72";"A";"02/05/1991"
"1991-02";"70.58";"A";"31/03/1991"
"1991-01";"70.39";"A";"01/03/1991"
"1990-12";"70.0";"A";"01/02/1991"
"1990-11";"70.05";"A";"03/01/1991"
"1990-10";"70.17";"A";"01/12/1990"
"1990-09";"69.86";"A";"03/11/1990"
"1990-08";"69.36";"A";"29/09/1990"
"1990-07";"68.9";"A";"04/09/1990"
"1990-06";"68.88";"A";"31/07/1990"
"1990-05";"68.89";"A";"29/06/1990"
"1990-04";"68.78";"A";"01/06/1990"
"1990-03";"68.4";"A";"02/05/1990"
"1990-02";"68.23";"A";"30/03/1990"
"1990-01";"68.09";"A";"01/03/1990"
